UKBID,everCpDK_count,everCpDC_count,detectedK_UKBID,detectedC_UKBID,detectedCK_UKBID
P15531,6.0,1.0,True,True,True
P15586,2.0,0.0,True,False,False
P15848,1.0,0.0,True,False,False
P15880,14.0,4.0,True,True,True
P15927,4.0,1.0,True,True,True
P16035,2.0,1.0,True,True,True
P16152,3.0,2.0,True,True,True
P16298,2.0,0.0,True,False,False
P16333,1.0,1.0,True,True,True
P16402,1.0,0.0,True,False,False
P16403,6.0,0.0,True,False,False
P16615,2.0,1.0,True,True,True
P16885,3.0,7.0,True,True,True
P16930,3.0,1.0,True,True,True
P16949,14.0,0.0,True,False,False
P17096,1.0,0.0,True,False,False
P17174,2.0,0.0,True,False,False
P17252,1.0,1.0,True,True,True
P17655,2.0,6.0,True,True,True
P17706,1.0,1.0,True,True,True
P17812,5.0,5.0,True,True,True
P17844,6.0,6.0,True,True,True
P17858,6.0,8.0,True,True,True
P17931,1.0,0.0,True,False,False
P17980,8.0,2.0,True,True,True
P17987,13.0,8.0,True,True,True
P18031,1.0,5.0,True,True,True
P18077,3.0,0.0,True,False,False
P18085,4.0,2.0,True,True,True
P18124,5.0,1.0,True,True,True
P18206,17.0,0.0,True,False,False
P18440,1.0,0.0,True,False,False
P18615,2.0,1.0,True,True,True
P18621,11.0,1.0,True,True,True
P18669,12.0,2.0,True,True,True
P18754,1.0,3.0,True,True,True
P18858,1.0,5.0,True,True,True
P18859,1.0,0.0,True,False,False
P19338,13.0,1.0,True,True,True
P19367,11.0,5.0,True,True,True
P19388,3.0,0.0,True,False,False
P19623,2.0,3.0,True,True,True
P19784,3.0,1.0,True,True,True
P20042,6.0,1.0,True,True,True
P20248,2.0,1.0,True,True,True
P20290,9.0,1.0,True,True,True
P20340,1.0,0.0,True,False,False
P20585,1.0,0.0,True,False,False
P20618,5.0,1.0,True,True,True
P20674,3.0,0.0,True,False,False
P20700,2.0,2.0,True,True,True
P20810,5.0,6.0,True,True,True
P20815,1.0,0.0,True,False,False
P20839,2.0,1.0,True,True,True
P20929,1.0,0.0,True,False,False
P20936,1.0,0.0,True,False,False
P21266,3.0,4.0,True,True,True
P21281,4.0,3.0,True,True,True
P21283,2.0,2.0,True,True,True
P21291,13.0,5.0,True,True,True
P21333,50.0,25.0,True,True,True
P21399,4.0,1.0,True,True,True
P21589,1.0,0.0,True,False,False
P21912,1.0,2.0,True,True,True
P21964,2.0,6.0,True,True,True
P21980,11.0,11.0,True,True,True
P22033,1.0,1.0,True,True,True
P22059,2.0,1.0,True,True,True
P22087,5.0,2.0,True,True,True
P22102,10.0,10.0,True,True,True
P22234,15.0,9.0,True,True,True
P22307,7.0,4.0,True,True,True
P22314,9.0,11.0,True,True,True
P22392,12.0,0.0,True,False,False
P22626,4.0,1.0,True,True,True
P22676,2.0,0.0,True,False,False
P22694,2.0,0.0,True,False,False
P22695,2.0,2.0,True,True,True
P22830,1.0,2.0,True,True,True
